X,Y,Z,VX,VY,VZ,R,P,Ya,VR,VP,VYa
8.645684,-3.5846913,0.5292328,-3.0876688957214355,-13.2678861618042,0.6634658575057983,-17.63620925777512,-50.00894438573003,-38.62851051141146,-98.23547577546437,-163.3878511360831,66.13926256360472
8.629862,-3.650075,0.53298086,-3.1645309925079346,-13.076753616333008,0.7496188282966614,-18.775705084933982,-50.67993533960291,-37.73545303214854,-90.38177592813604,-163.08980900146042,66.35181122038634
8.61366,-3.7145069,0.5371354,-3.2403199672698975,-12.886364936828613,0.8309044241905212,-19.908346817260732,-51.33858414164558,-36.808142154198,-82.37264146586571,-162.94070597187905,66.47724081430445
8.597083,-3.7779872,0.5416753,-3.3154959678649902,-12.696065902709961,0.9079861640930176,-21.034105426451404,-51.985413301329544,-35.84648908510064,-74.28956337564085,-162.91733306453926,66.52523655360213
8.580132,-3.8405156,0.54658115,-3.3903160095214844,-12.505677223205566,0.9811598062515259,-22.153206308748608,-52.62088727151836,-34.85032648522179,-66.17063362246257,-163.00586597656095,66.50532655217154
8.562806,-3.902092,0.5518338,-3.464925765991211,-12.315279960632324,1.0505319833755493,-23.266009756631057,-53.24539537299472,-33.81941871303509,-58.036329113462614,-163.19250772582075,66.4220870367566
8.54511,-3.9627173,0.55741453,-3.5394301414489746,-12.125049591064453,1.1161472797393799,-24.372959732394804,-53.85931668125756,-32.753465240217054,-49.89468898129405,-163.47119310433558,66.27999178126366
8.52704,-4.0223923,0.5633052,-3.613987445831299,-11.935011863708496,1.1781349182128906,-25.47466753797057,-54.46296880010329,-31.65208699126874,-41.76583154815717,-163.83297456429284,66.08599391826779
8.508595,-4.0811186,0.5694882,-3.6887404918670654,-11.745220184326172,1.2366018295288086,-26.57189132435622,-55.056631767287875,-30.514809268042843,-33.667826079501246,-164.27069406744226,65.84641137275125
8.489777,-4.138897,0.5759464,-3.763821601867676,-11.555743217468262,1.2916384935379028,-27.665537799164078,-55.64053439414851,-29.341085655405756,-25.616884029321284,-164.7784776510977,65.5669268621035
8.47058,-4.19573,0.582663,-3.8393521308898926,-11.366663932800293,1.3433235883712769,-28.756646858695273,-56.21488158636029,-28.130282653311962,-17.62739489865122,-165.35142123943504,65.25266302820204
8.451002,-4.25162,0.5896222,-3.915531873703003,-11.177864074707031,1.391836404800415,-29.846417201149148,-56.77983726846332,-26.881753101337605,-9.728258071643024,-165.98444317171183,64.9001979462727
8.43104,-4.3065667,0.5968085,-3.9924821853637695,-10.98938274383545,1.4372550249099731,-30.936047524725037,-57.33523068572832,-25.59501888624078,-1.9514595376232784,-166.60717883909857,64.52178497568649
8.410686,-4.3605666,0.60421,-4.070873737335205,-10.79994010925293,1.480300784111023,-32.02754590503893,-57.880846687196446,-24.269516517414964,5.557133262502523,-167.21934137365014,64.12736204168576
8.389932,-4.4136147,0.6118148,-4.1507978439331055,-10.609679222106934,1.5209630727767944,-33.1231014177198,-58.41649061247635,-22.904675674064457,12.75945845925425,-167.8268593795661,63.71160842690708
8.36877,-4.465709,0.6196107,-4.2322998046875,-10.418855667114258,1.5591850280761719,-34.22492021386958,-58.94189608419042,-21.499932865582736,19.647522383425457,-168.41946025233474,63.27761820704447
8.347194,-4.5168495,0.62758434,-4.31522274017334,-10.228117942810059,1.5947256088256836,-35.335280161576456,-59.45675574382598,-20.054700695701182,26.210463326688533,-168.99513591634008,62.82985832581512
8.325196,-4.5670385,0.63572204,-4.399571895599365,-10.037758827209473,1.627535343170166,-36.45638399684776,-59.960693930978685,-18.568381522867416,32.46420331377242,-169.54962433354007,62.37255667031525
