X,Y,Z,VX,VY,VZ,R,P,Ya,VR,VP,VYa
8.6866,-1.4436927,0.69475937,0.4241141378879547,-13.08989429473877,-0.5263603329658508,-20.068326923095356,-22.848198547364913,-28.380354661846347,-165.62968314622137,-85.63366747376412,14.991177520552665
8.688684,-1.5089746,0.6920707,0.4169151484966278,-13.056368827819824,-0.5377208590507507,-20.984473856847508,-23.229703886097855,-28.133436493161216,-163.90182287112657,-87.39209967558389,15.805488041327216
8.690733,-1.5740851,0.689325,0.40976032614707947,-13.022109031677246,-0.5491562485694885,-21.89939477164364,-23.61437672505839,-27.871449219619745,-162.1550019908958,-89.18623327619534,16.628554864617726
8.692746,-1.6390206,0.6865217,0.4026365876197815,-12.987092971801758,-0.5606505870819092,-22.81333896938846,-24.002049724611847,-27.593996690250073,-160.38747197710157,-91.01821295499782,17.46120273576647
8.694724,-1.7037765,0.6836616,0.3955010175704956,-12.951181411743164,-0.5720281004905701,-23.726513063304363,-24.392605063995056,-27.300600791810297,-158.58251252665565,-92.90264165643683,18.310967060975265
8.696666,-1.7683481,0.6807453,0.3883369266986847,-12.914331436157227,-0.5832578539848328,-24.639127081708324,-24.785923214897533,-26.990754382754545,-156.73558839394917,-94.84440979595809,19.180366472500555
8.698571,-1.8327308,0.6777736,0.3811323642730713,-12.876521110534668,-0.5943400263786316,-25.55140300574837,-25.18187611127234,-26.66392641587485,-154.84600289968682,-96.84502001517902,20.069995196800132
8.70044,-1.8969194,0.6747472,0.3738740384578705,-12.837722778320312,-0.6052713990211487,-26.463581599592743,-25.580328856883376,-26.31956364584844,-152.91290910041147,-98.90637110668887,20.980623337702912
8.702273,-1.9609089,0.671667,0.36654698848724365,-12.797906875610352,-0.6160451173782349,-27.37591387269344,-25.981139725305354,-25.95708892169045,-150.93520050547758,-101.0308194857513,21.91322078207104
8.704069,-2.024694,0.66853374,0.3591347336769104,-12.757036209106445,-0.6266515254974365,-28.288673032617265,-26.384153329734666,-25.575899479206623,-148.91160669969958,-103.22115186954765,22.868941831874242
8.705827,-2.0882695,0.66534835,0.35161909461021423,-12.715072631835938,-0.637078046798706,-29.202145947309358,-26.789214283367688,-25.17536011080415,-146.84066602259503,-105.48059210736622,23.84913374192631
8.707547,-2.1516292,0.66211194,0.3439742922782898,-12.671943664550781,-0.6472791433334351,-30.116639975282364,-27.196168906948095,-24.754775844734983,-144.71912730411904,-107.81818336966806,24.857986833283043
8.709228,-2.2147663,0.6588267,0.3361406922340393,-12.627426147460938,-0.6570446491241455,-31.03245564485977,-27.604913040091045,-24.313296322447453,-142.52704639189514,-110.25731905436048,25.90969594658702
8.710868,-2.2776737,0.6554949,0.32809463143348694,-12.581466674804688,-0.6663641333580017,-31.949903729648806,-28.015320324296894,-23.85001312878195,-140.25931430442418,-112.80330621842859,27.00835578024567
8.712467,-2.3403451,0.65211713,0.3198757469654083,-12.534310340881348,-0.6755515336990356,-32.869349644770075,-28.42713291992447,-23.364183480666235,-137.94024651515141,-115.42116746313273,28.13672693679387
8.714025,-2.4027748,0.6486939,0.31146812438964844,-12.48593521118164,-0.6846433877944946,-33.79118612610084,-28.840033223177375,-22.855136312014356,-135.57760211897397,-118.09670282518847,29.2860923873034
8.715539,-2.4649575,0.64522475,0.3028883934020996,-12.436506271362305,-0.6938332319259644,-34.71589128688302,-29.25367289440793,-22.322263735990177,-133.19418028734134,-120.82036370013611,30.447122093368016
8.71701,-2.5268857,0.64171046,0.2940567433834076,-12.385698318481445,-0.7028657793998718,-35.64411399508775,-29.66782482982624,-21.764831507257927,-130.81094970100546,-123.6282681283067,31.618031668067058
8.718434,-2.5885522,0.6381526,0.2849052846431732,-12.333260536193848,-0.7115660309791565,-36.5766158168075,-30.082342180365146,-21.182021710664493,-128.43745896442604,-126.54221807353089,32.79722626222932
8.7198105,-2.6499474,0.6345534,0.2753816545009613,-12.27903938293457,-0.7198509573936462,-37.51422320493183,-30.497078096957488,-20.57296008199612,-126.07974596482933,-129.5729642535623,33.98213430963231
8.721138,-2.7110617,0.6309151,0.26543188095092773,-12.222878456115723,-0.727651059627533,-38.457851404809524,-30.911923296576553,-19.936739913640476,-123.75152572206875,-132.72870289540498,35.16545775314784
8.722413,-2.7718847,0.62724066,0.25499477982521057,-12.164596557617188,-0.7348887324333191,-39.40856251085653,-31.32678557166854,-19.272461328174423,-121.47649899256422,-136.01599098066205,36.33339619555793
8.723634,-2.832408,0.6235307,0.24413380026817322,-12.104636192321777,-0.7419925332069397,-40.367534730704655,-31.74147026184211,-18.579482287815978,-119.30542774222728,-139.39233107231777,37.454708351598924
8.724798,-2.8926241,0.61978465,0.23287324607372284,-12.043252944946289,-0.7492098212242126,-41.3360931210529,-32.1557417255709,-17.857338339701577,-117.28306337049987,-142.83253343271312,38.50357952130276
8.7259035,-2.9525268,0.6160014,0.22120073437690735,-11.980525970458984,-0.7566368579864502,-42.315654946154034,-32.569350660950185,-17.10566065361604,-115.43891229459643,-146.32437202323376,39.462633703420934
8.72695,-3.0121093,0.6121799,0.20909084379673004,-11.916486740112305,-0.7643204927444458,-43.30765454573376,-32.98200678494026,-16.324076984249604,-113.77380096740653,-149.86266956048883,40.33020433179595
8.72779,-3.0707006,0.6087831,0.16801925003528595,-11.718259811401367,-0.6793481707572937,-44.28425206873511,-33.396667569451736,-15.523044351221557,-107.61850278928274,-152.6500151192577,39.378762395507756
8.728418,-3.1282964,0.60579914,0.12569518387317657,-11.519160270690918,-0.5967955589294434,-45.23386351432573,-33.78660989935693,-14.719619444436711,-101.01657171114265,-149.62519754342583,40.13137069486771
8.728833,-3.1849089,0.603201,0.08311323076486588,-11.322525024414062,-0.5196330547332764,-46.154593505010965,-34.15345594458373,-13.914622740369119,-94.18391001265034,-146.79796367990411,40.759157287145676
8.729034,-3.240551,0.6009631,0.04025635868310928,-11.128400802612305,-0.44757023453712463,-47.04467643689035,-34.49878006373582,-13.108828611715925,-87.13546214770984,-144.15368326349036,41.266626682099286
8.72902,-3.2952347,0.5990618,-0.0029189519118517637,-10.936727523803711,-0.3802679777145386,-47.90246964946849,-34.8240644078631,-12.302994355701358,-79.89695743892456,-141.66839599057616,41.660455389642216
8.728788,-3.3489726,0.5974743,-0.046422313898801804,-10.747602462768555,-0.3175017833709717,-48.72642268980381,-35.13079795820462,-11.497783354448554,-72.46985754677688,-139.3416510686763,41.94206750421643
8.728336,-3.401778,0.5961791,-0.09027506411075592,-10.561086654663086,-0.25903064012527466,-49.51501584080597,-35.42049018656695,-10.69372067874996,-64.84597990464114,-137.1810709889045,42.11558162989143
8.727664,-3.4536645,0.5951559,-0.13448989391326904,-10.377303123474121,-0.20464938879013062,-50.266650838209195,-35.69488962137763,-9.890863531439873,-56.94899373344785,-135.2635227001801,42.18515393677718
8.7267685,-3.5046456,0.5943855,-0.17912337183952332,-10.19617748260498,-0.1540674865245819,-50.97991724794987,-35.95558428161868,-9.089352785169924,-48.824060243989145,-133.54592136921866,42.15528551953672
8.725649,-3.5547376,0.5938482,-0.2240198701620102,-10.01844310760498,-0.10746660828590393,-51.6535173340857,-36.20414852589378,-8.289533364493199,-40.513328533633164,-131.98996329515472,41.99745692329065
8.724302,-3.6039555,0.59352654,-0.2693485617637634,-9.843586921691895,-0.06432738900184631,-52.286365096538646,-36.44196546750987,-7.49178092981405,-32.06030007720372,-130.55774092809474,41.730727790917896
8.722726,-3.6523116,0.5934055,-0.31525832414627075,-9.671191215515137,-0.024217581376433372,-52.87758968618954,-36.670233804666275,-6.696571033053438,-23.516693067096156,-129.20510392524378,41.36814719882777
8.720917,-3.6998174,0.59347093,-0.3618055582046509,-9.501174926757812,0.013087980449199677,-53.42649783883761,-36.89001904687353,-5.90456022614533,-14.937734705391899,-127.88562066062403,40.90815444879492
8.718871,-3.7464852,0.5937097,-0.40902215242385864,-9.333542823791504,0.04776201397180557,-53.93253972425468,-37.10231157156129,-5.116553617638143,-6.368399653341366,-126.56488064119699,40.345377597037135
8.716586,-3.7923262,0.59410983,-0.4569688141345978,-9.168204307556152,0.08002322912216187,-54.395267965050124,-37.308047114645824,-4.333415226461883,2.163222509206942,-125.22382763917835,39.68008643602663
8.714058,-3.8373523,0.59465986,-0.5056576132774353,-9.005215644836426,0.11000370979309082,-54.81436154233293,-37.508113600719255,-3.556139698914431,10.61928527717516,-123.83563267150828,38.905116097324054
8.711283,-3.8815746,0.5953494,-0.5551449656486511,-8.84445858001709,0.13790790736675262,-55.18965653156304,-37.70338187890075,-2.7858341659715666,18.953815927920402,-122.37998275559517,38.01085650476721
8.708255,-3.925003,0.59616935,-0.605526328086853,-8.685710906982422,0.16399027407169342,-55.52112561198376,-37.89472621340407,-2.023619205543994,27.138230119766167,-120.85212407977667,36.99410429963536
8.70497,-3.9676468,0.5971119,-0.6569103002548218,-8.528742790222168,0.18850912153720856,-55.80885074586513,-38.08303111372673,-1.2705403701832534,35.160765413188045,-119.26249317310459,35.85470580267217
8.701424,-4.0095134,0.59817046,-0.7094138264656067,-8.373313903808594,0.21171846985816956,-56.053033423787674,-38.26922548559587,-0.5275641316569022,43.00811659968285,-117.62379418743512,34.59082369299092
8.697608,-4.0506096,0.5993397,-0.7631420493125916,-8.219223022460938,0.2338418960571289,-56.25402881558822,-38.45426897058985,0.20435935334827407,50.651040224319175,-115.94194206658953,33.19326795106334
8.693517,-4.090941,0.6006152,-0.8182077407836914,-8.066264152526855,0.2551000416278839,-56.41239016658955,-38.639165606516684,0.9242747521427597,58.051942925905266,-114.22171111279762,31.64925587785777
8.689142,-4.1305113,0.60199404,-0.8747822642326355,-7.9141154289245605,0.27577129006385803,-56.52881757118159,-38.82498773307605,1.6313459668628232,65.1944766466627,-112.48612589375153,29.954235152292384
