X,Y,Z,VX,VY,VZ
-5.114600794638477,3.3766851285535084,0.8708048123396728,0.7423015836761211,-10.806601451589273,1.010774005938716
-5.106726324494211,3.2691022409715895,0.8810613394969261,0.8323729854701716,-10.707627829863508,1.040293300757271
-5.097957813150273,3.162578996545764,0.8916059073411112,0.9211010393460555,-10.594728600119701,1.0683814515460812
-5.088308951649653,3.0572528901315525,0.9024241916618615,1.0084348316897342,-10.468264748405488,1.095036701113438
-5.077793922064992,2.953257546696374,0.9135018744978154,1.0943270830811755,-10.328649039030495,1.1202620475249907
-5.06642736078518,2.850722210687768,0.9248246913938315,1.178734221045107,-10.176344551114262,1.144065182278499
-5.054224321120785,2.749771251035683,0.9363784779572387,1.2616164435245816,-10.011863015109839,1.1664584119244747
-5.0412002353211856,2.650523683790258,0.9481492155474601,1.342937773076458,-9.835762949304861,1.187458563132468
-5.027370876096082,2.553092714394106,0.9601230759335901,1.422666101789674,-9.648647596298275,1.2070868712032359
-5.012752317734278,2.457585301590533,0.9722864647542592,1.500773226925478,-9.451162659454209,1.2253688520265735
-4.997360896912368,2.364101744966775,0.9846260636143701,1.5772348772804472,-9.243993839331857,1.2423341574850093
-4.981213173286269,2.2727352981335667,0.9971288706530395,1.6520307302714698,-9.027864170092391,1.2580164143031716
-4.964325889958232,2.1835718095404104,1.0097822394173,1.7251444197433612,-8.803531155882025,1.272453046343004
-4.9467159339121585,2.0966893929271446,1.0225739158759901,1.7965635344988593,-8.571783707191408,1.2856850803447089
-4.928400296510078,2.012158129412369,1.0354920734082314,1.866279607550708,-8.333438877192318,1.2977569351134484
-4.909396034142386,1.9300398032181256,1.0485253456010744,1.934288096096517,-8.08933839804977,1.3087161941518517
-4.889720229124838,1.8503876730320687,1.0616628566906199,2.000588352215571,-7.840345017211774,1.3186133617382378
-4.869389950934846,1.7732462810064016,1.074894249481232,2.0651835842883877,-7.587338633674491,1.327501602450664
-4.848422217880082,1.6986513013947127,1.0882097105771384,2.1280808091383028,-7.33121223422506,1.3354364641366836
-4.826833959291944,1.6266294308260667,1.1015999927610394,2.189290794895758,-7.072867629659715,1.3424755843289147
-4.804641978336867,1.557198322217456,1.1150564343540244,2.2488279945846186,-6.813210990979571,1.3486783801063582
-4.781862915538098,1.4903665643240886,1.1285709753913833,2.306710470431108,-6.553148185562126,1.3541057214014678
-4.758513213100754,1.4261337089281643,1.1421361704487112,2.36295980889508,-6.293579913309271,1.358819587753035
-4.734609080133047,1.3644903476664698,1.1557451979527302,2.41760102642347,-6.035396642772755,1.3628827085047794
-4.710166458856232,1.3054182404965013,1.1693918658113933,2.470662465926404,-5.779473347254834,1.3663581864497611
-4.68520099189633,1.2488904978020585,1.1830706131975832,2.5221756839753633,-5.526664040886464,1.3693091049205102
-4.659727990750097,1.1948718181378606,1.1967765083210233,2.5721753287240547,-5.277796114681302,1.371798118324983
-4.633762405518324,1.1433187836139718,1.2105052420226998,2.6206990085512967,-5.0336644725668895,1.3738870261282161
-4.607318795999,1.0941802149199242,1.224253117026379,2.667787151426541,-4.795025467391925,1.3756363302798136
-4.580411304233206,1.0473975879887956,1.2380170326816318,2.713482854997702,-4.562590636909621,1.3771047760871544
-4.553053628596619,1.0029055143018786,1.251794465032764,2.7578317274012027,-4.337020239738872,1.3783488765343768
-4.525258999529148,0.9606322868334134,1.2655834420482455,2.800881718794656,-4.118916591300613,1.37942242004717
-4.4970401569958005,0.9205004936365695,1.279382513844931,2.842682943611602,-3.908817199731329,1.3803759617032652
-4.468409329771223,0.8824277010698909,1.2931907177417,2.8832874935389317,-3.7071877017729706,1.3812562978887366
-4.439378216641021,0.8463272086654801,1.3070075379767994,2.9227492412163905,-3.5144145986391995,1.3821059244000813
-4.409957969612305,0.8121088776381553,1.3208328599235333,2.9611236346586916,-3.330797791858759,1.3829624779920182
-4.380159179226563,0.7796800350366633,1.334666918638561,2.9984674823998247,-3.156542919094442,1.383858161371115
-4.349991862067366,0.7489464555366334,1.3485102415774326,3.0348387293597607,-2.991753489939455,1.3848191516351005
-4.31946545055581,0.7198134228756654,1.362363585311727,3.0702962234336946,-2.836422821689386,1.385864992158057
-4.288588785126533,0.6921868729310008,1.3762278660822431,3.104899472803373,-2.690425775091609,1.387007967921284
-4.257370108876882,0.6659746204395409,1.3901040840227723,3.1387083939710223,-2.5535102900706557,1.3882524642899308
-4.225817064782266,0.6410876713610207,1.4039932408888265,3.1717830505155327,-2.4252887214299426,1.3895943092354799
-4.193936695570186,0.6174416228840292,1.4178962511258504,3.2041833825710633,-2.305228974531035,1.3910200990039374
-4.161735446346039,0.5949581530755532,1.431813846111326,3.235968927027934,-2.1926454409476355,1.392506507229769
-4.129219170063105,0.5735666021738837,1.4457464714052546,3.2671985284560403,-2.0866897340978507,1.3940195774956414
-4.096393135929887,0.5532056475256741,1.4596941768434553,3.2979300407503924,-1.9863412248519192,1.3955139993379284
-4.063262040847239,0.5338250741665416,1.4736564993081531,3.328220019499317,-1.8903973771171692,1.396932367698002
-4.029830023968226,0.5153876430463731,1.487632338010328,3.358123405074802,-1.797463883398582,1.3982044258192372
-3.9960958755869815,0.49802759565864496,1.5016132581138546,3.387754739386527,-1.705402697465384,1.3992355098264808
-3.9620708172892085,0.48143147303487066,1.5156096144222209,3.417347113716199,-1.6136918807519032,1.3999899009615266
-3.9277450116059756,0.465757943837221,1.5296122388043583,3.4481115421494155,-1.5207288877295606,1.4004987998624134
-3.8931007382381524,0.45102400780460483,1.5436189521401296,3.4812261665952104,-1.4256355444785929,1.4008159362569046
